,Date,value,value,value,value,value,value,value,value,value,value,value
GICS Sector,,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
0,1999-12-30,20.018307187340476,21.999164834255126,15.299147015644444,9.642235974470774,43.08250711888683,15.71091728657484,16.41409513197447,36.012695418328654,16.992628973722457,9.384154062271119,9.520393160673288
1,1999-12-31,20.469970963217996,22.116223893514494,15.367698589960733,9.838321348031362,43.211824672562734,15.642705902457237,16.682130944310572,36.68590698558457,17.168032824993134,9.464662961959839,9.541768981860233
2,2000-01-03,20.381101564927533,22.603975627480484,15.023474927301761,9.48053769932853,41.47265228446649,15.72515420615673,16.264031726017333,36.70967285730401,16.841141438484193,9.26718762397766,9.288467480586124
3,2000-01-04,19.45406798882918,22.46616881940423,14.648851452050385,9.34656306107839,39.516707332766785,15.21893327931563,15.88290017738677,34.7176153343551,16.51607455611229,9.15887601852417,9.31702040708982
4,2000-01-05,19.445435188033365,23.120826407176693,14.61016673511929,9.448556727833218,39.569290523626364,15.36979000022014,16.02957142967927,34.064456771831125,17.026538455486296,9.176433959007262,9.633868290827824
5,2000-01-06,18.842819712378763,22.641955257915868,14.823546931975418,9.922029117743174,40.799435381986655,15.555267217258612,16.23710139069641,31.52965501619845,17.57898473739624,9.265489587783813,9.656044703263502
6,2000-01-07,19.16852261803367,22.989936777731266,15.417295059948056,10.150635461012522,42.49827797558843,16.655674445132416,16.5340025728209,32.949947094430726,17.841992104053496,9.542769665718078,9.77912264603835
7,2000-01-10,20.330460472540423,22.720405507378462,15.346359233889315,9.96048331922955,41.86127561939006,16.968363645176094,16.613491592700022,35.21849397615511,17.852374339103697,9.883809299468995,9.791522429539608
8,2000-01-11,19.937882336703215,22.388078791339222,15.316078789532185,10.032986647552914,41.316502875211285,16.748709723353386,16.392190089351253,33.94356795233123,17.69722511768341,10.01820493221283,9.768783028309162
9,2000-01-12,19.542596654458478,21.942374510009113,15.275196391951155,9.837436099847158,42.138658075916524,16.549047087629635,16.34337522481617,33.30801410334451,17.713658714294432,9.88591100692749,9.852898771946247
10,2000-01-13,19.919330596923828,22.19615045262546,15.403377319651621,10.032296611203087,43.25951251205133,17.274368862311047,16.543782723577397,33.70880105422468,17.841388273239136,9.956043801307679,9.848508027883677
11,2000-01-14,19.841151768510993,22.94206789499376,15.310339631857696,10.078534060054356,44.1059440350046,17.270943122605484,16.5908839754891,35.030775205213196,17.7074871301651,9.934207763671875,9.836197862258324
12,2000-01-18,19.831962379542265,23.15709690349858,15.35444533686947,10.525831606653002,42.708868953646444,17.288510243097942,16.427889022910804,35.30428116297235,17.38261901140213,10.060950531959534,9.587947634550241
13,2000-01-19,19.98246169090271,23.766295226608836,15.279813392570725,10.56149435043335,42.39699825948598,17.429262238244217,16.372893584401982,35.97880918030836,17.062204015254974,10.068618693351745,9.714008037860577
14,2000-01-20,19.710649251937866,23.452133782026245,15.07889041773699,10.456050064828661,41.8197325103137,17.2786908869942,16.110662505292055,36.595778324166126,16.57160665988922,10.121656789779664,9.704278606634874
15,2000-01-21,19.53874741901051,23.384605263791432,14.822441906012871,10.744850092464024,41.34778666982845,17.7455384110411,16.098861275012034,37.633680066283866,16.481859493255616,10.231334042549133,9.921899703832773
16,2000-01-24,19.294394167986784,22.758523397329377,14.419681064784527,10.525423189004263,40.540363039289204,17.190709186096985,15.77953245660715,36.37270173977832,16.387518656253814,10.274877514839172,9.962266069192152
17,2000-01-25,19.41858417337591,23.0751936770067,14.314185026343223,10.472062594360775,40.975721198685314,17.142733762661617,15.5396426550129,37.32699083795353,16.054896676540373,10.29406120300293,9.719113294894878
18,2000-01-26,19.262574781071056,23.592376476380885,14.504443109863335,10.45050107770496,42.11250322448964,17.234564535319805,15.77804713604743,36.13929059189193,16.225138491392137,10.286825218200683,9.726711071454561
19,2000-01-27,19.084063757549632,23.23970210988347,14.334767178252891,10.098921027448442,42.25679174248053,17.087400913238525,15.81952469495305,35.55599827547463,16.31461293101311,10.101666851043701,9.799815242107098
20,2000-01-28,18.58569085597992,22.213671403687176,13.929112185758573,9.876692195733389,40.88664207653124,16.882225265105564,15.426408180019312,34.03523168636828,15.511689651580085,10.102947506904602,9.643762634350704
21,2000-01-31,18.92553263360804,22.081049410308278,14.132945038654187,10.04956422249476,41.96541065829141,16.860756441950798,15.42442784602182,34.03942583896676,15.454563992364067,9.950623755455018,9.86708047756782
22,2000-02-01,19.219472560015593,22.168534463498652,14.26031911952628,10.151033679644266,41.82161570568474,17.059069270888966,15.462937599734255,34.781300919396536,15.511688028063093,10.211301560401916,9.737908179943378
23,2000-02-02,19.47118400443684,22.47359329752806,14.2369680037653,10.148129516177708,41.61578525572407,17.062416337430477,15.500111105149252,35.345055133712535,15.42117044471559,10.296121129989624,9.622519135475159
24,2000-02-03,19.583920858123086,23.02422982308923,14.216422026632008,10.079800347487131,41.23248375435265,17.38228654364745,15.50319240386026,36.97823380572455,15.505039368356977,10.354812378883361,9.815796632033129
25,2000-02-04,19.430393121459268,22.96647231171771,13.90925545024651,9.870208713743422,40.82942828596855,17.580718117455643,15.445385208255367,37.273614148704375,15.512545948936825,10.316694030761719,9.528502959471483
26,2000-02-07,19.382229523225263,22.669970391727077,13.763168273148713,9.99359777238634,40.193255475589204,17.88916369030873,15.207686506865317,37.61564588911679,15.28831038020906,10.236984391212463,9.520182444499088
